Cluster,sum_sales,totalquant,,Percent,,,,,,Clus 0,1685,#DIV/0!,,
0,0,276.399577,227.545477,19%,,,,,,Clus 1,593,#DIV/0!,,
1,1,133.125494,121.590154,9%,,,,,,Clus 4,,,,
2,2,523.153788,504.026807,36%,,,,,,Clus 5,667,#DIV/0!,,
3,3,96.953745,90.62084,7%,,,,,,,,,,
4,4,310.618874,301.457152,21%,,,,,,,,,,
5,5,118.795829,108.543377,8%,,,,,,,,,,
,,1459.047307,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4891,,,,,,,,,,,,,,
,,,Size,Revenue,,,,,,,,,Size,Revenue
Home decor,Clus 0,1685,34%,19%,,,,,,Home decor,Clus 0,168500%,31%,19%
Kids,Clus 1,593,12%,9%,,,,,,Kids,Clus 1,59300%,12%,9%
Sew Supply,Clus 2,1037,21%,36%,,,,,,Sew Supply,Clus 2,103700%,21%,36%
Impulse,Clus 3,693,14%,7%,,,,,,Impulse,Clus 3,69300%,14%,7%
fabric,Clus 4,216,4%,21%,,,,,,fabric,Clus 4,21600%,9%,21%
Crafting,Clus 5,667,14%,8%,,,,,,Crafting,Clus 5,66700%,12%,8%
